"","created_at","screen_name","text","country","place_full_name"
"748",2019-08-23 14:24:26,"TaemMk","190823 RCTI 30th Anniversary

interview - 1

#<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMIN #TAEMINinJKT https://t.co/GdlfvJ9XjR",NA,NA
"749",2019-08-23 14:25:34,"TaemMk","<U+D558><U+D2B8> <U+BFC5><U+0001F493><U+BFC5><U+0001F493>

#TAEMIN #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #Famous #TAEMINinJKT https://t.co/0GQI1n9IDc",NA,NA
"750",2019-08-23 14:25:52,"TaemMk","190823 @/officialrcti IGS 02
#<U+D0DC><U+BBFC> #TAEMIN #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/Md8yrrjQb4",NA,NA
"751",2019-08-23 14:25:45,"pureland6","Taemin - Danger #TAEMINinJKT https://t.co/OhwV0SkRle",NA,NA
"752",2019-08-23 14:26:04,"pureland6","190823 <U+D0DC><U+BBFC> MOVE #TAEMINinJKT (1) https://t.co/rZsLQsY9x9",NA,NA
"753",2019-08-23 14:25:32,"pureland6","190823 <U+D0DC><U+BBFC> DANGER #TAEMINinJKT (1)
#<U+D0DC><U+BBFC> #TAEMIN #<U+30C6><U+30DF><U+30F3> https://t.co/AjcJtCSjwn",NA,NA
"754",2019-08-23 14:25:36,"pureland6","190823 <U+D0DC><U+BBFC> DANGER #TAEMINinJKT (2)
#<U+D0DC><U+BBFC> #TAEMIN #<U+30C6><U+30DF><U+30F3> https://t.co/htwVN4GTjH",NA,NA
"755",2019-08-23 14:27:12,"pureland6","#TAEMINinJKT THAT CLOSE https://t.co/EAmZHonyqj",NA,NA
"756",2019-08-23 14:25:42,"kjjhmoon","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
"757",2019-08-23 14:27:12,"kjjhmoon","190823 rantymaria instastory

https://t.co/8ygk2AapnT

#TAEMIN #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/IPlEYVYyFD",NA,NA
"758",2019-08-23 14:27:12,"Mirajoon","192308 Taemin at RCTI 30th Anniversary Red Carpet #TAEMINinJKT https://t.co/U4oIyQYgMI",NA,NA
"759",2019-08-23 14:27:06,"AninditaSyafit5","Taemin is the brightest one, right? <U+0001F92D><U+2764>
#TAEMINinJKT https://t.co/7bMFfByT5M",NA,NA
"760",2019-08-23 14:25:13,"AninditaSyafit5","190823 officialrcti IG

https://t.co/2IS4kolY3m
https://t.co/HVuWHExsX0

https://t.co/QSUjqMblUb
https://t.co/yzXbIPrYFZ

#TAEMIN #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/zSFLdpvCCh",NA,NA
"761",2019-08-23 14:25:05,"AninditaSyafit5","SHOOOO CUTE #TAEMINinJKT https://t.co/hUibN8wajP",NA,NA
"762",2019-08-23 14:27:04,"punyadepoy","taeminaaaaa <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> he's such a tease <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> #TAEMINinJKT #taemin #<U+D0DC><U+BBFC> #RCTI30 #redcarpet https://t.co/3DsfzAXU6m",NA,NA
"763",2019-08-23 14:26:17,"noviashinee","[MENT 1/2] istg taemin's indonesian is the cutest <U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160> #TAEMINinJKT https://t.co/d0jxFOw9YI",NA,NA
